Departamentos;ventas_mañana;ventas_tarde;ventas_noche;ventas_totales;igv;transaccion_total;codigo_producto;membresia;tipo_atencion;tipo_clientes;cantidad_deboluciones
Cajamarca;2805;4106;3130;10041;1807.38;4;HYGGWW;NO;estandar;indecisos;47
Tacna;7597;3305;7243;18145;3266.1;41;I78CE4;NO;deficiente;indecisos;71
Huanuco;3615;1960;6427;12002;2160.36;2;YHWHAQ;NO;buena;exigentes;32
Huanuco;3370;3458;7515;14343;2581.74;21;YEWAD8;NO;exelente ;exigentes;34
Apurimac;5430;2822;7944;16196;2915.28;29;XYYAGS;SI;exelente ;indecisos;21
Ucayali;1631;3556;6672;11859;2134.62;35;C8CPZH;NO;deficiente;indecisos;69
Cajamarca;2979;2511;6743;12233;2201.94;15;DGG8CY;SI;deficiente;leales ;76
Arequipa;2862;3222;6035;12119;2181.42;34;YEAGES;SI;estandar;indecisos;78
Lima;7290;2843;3182;13315;2396.7;4;IQSHZB;SI;exelente ;leales ;56
Junin;4783;2344;5824;12951;2331.18;22;HS8PWQ;NO;deficiente;exigentes;20
Huancavelica;2691;4818;6261;13770;2478.6;44;SPAB38;NO;estandar;indecisos;27
La Libertad;5022;1276;1390;7688;1383.84;15;83ZGHZ;SI;estandar;indecisos;24
Pasco;5111;3734;5814;14659;2638.62;12;B3HYWX;NO;buena;exigentes;56
Cuzco;7063;927;7671;15661;2818.98;18;WHA3P8;NO;exelente ;exigentes;52
Junin;7172;2478;7184;16834;3030.12;33;MIBDQG;NO;estandar;leales ;23
Amazonas;2791;2316;5886;10993;1978.74;17;PCSSPI;NO;estandar;indecisos;62
Huancavelica;5994;1995;1987;9976;1795.68;5;HDWQBX;SI;buena;exigentes;77
Lima;8737;1968;6263;16968;3054.24;35;YH8EBG;SI;deficiente;leales ;39
Piura;3962;1953;3791;9706;1747.08;33;MIB888;NO;exepcional;leales ;32
Puno;9623;3582;1975;15180;2732.4;27;GPHBX4;SI;estandar;exigentes;48
Tumbes;8420;2966;3365;14751;2655.18;21;PGWYYG;SI;exepcional;indecisos;68
Cuzco;2655;3765;5140;11560;2080.8;33;EAABQW;SI;exepcional;leales ;36
Pasco;4415;2284;1378;8077;1453.86;22;I8G88Z;NO;deficiente;indecisos;54
Junin;6200;3353;1965;11518;2073.24;14;7HQZ8A;NO;exepcional;leales ;56
Lima;4081;2363;2548;8992;1618.56;14;YIE7C8;SI;deficiente;exigentes;48
Moquegua;1766;2935;2238;6939;1249.02;30;BH8QXZ;SI;buena;leales ;35
Huanuco;4906;1067;5257;11230;2021.4;36;PBEWGS;SI;exelente ;exigentes;63
Piura;6552;919;6156;13627;2452.86;22;GHQ877;SI;deficiente;exigentes;40
Madre de Dios;4998;1893;2962;9853;1773.54;24;8X7GEE;NO;estandar;leales ;58
Lambayeque;9228;4150;6066;19444;3499.92;44;DAG4Z7;SI;deficiente;leales ;54
Amazonas;2534;925;1513;4972;894.96;33;SMS4AD;NO;deficiente;exigentes;75
Ucayali;8414;2202;5820;16436;2958.48;30;DC8WXH;SI;deficiente;indecisos;56
Tacna;4233;2409;3849;10491;1888.38;29;MI3WCS;SI;exelente ;exigentes;65
La Libertad;5103;2408;6287;13798;2483.64;43;P4DPXM;SI;deficiente;exigentes;68
Ica;2969;2785;7637;13391;2410.38;46;34S7EI;NO;deficiente;exigentes;60
Ancash;1166;3597;5329;10092;1816.56;19;PPXYPX;SI;buena;exigentes;42
Apurimac;6477;2520;7116;16113;2900.34;16;AAPBQI;SI;estandar;leales ;77
Lima;5479;4718;4059;14256;2566.08;9;D7EMDE;NO;deficiente;indecisos;69
Lima;6483;4945;4588;16016;2882.88;23;YZ3M7B;SI;deficiente;exigentes;23
Loreto;4657;1364;4684;10705;1926.9;21;HE7YPA;SI;estandar;leales ;65
Amazonas;2003;1692;7903;11598;2087.64;32;PEAH8C;SI;buena;indecisos;79
Apurimac;9751;4162;1440;15353;2763.54;21;4PWWGI;NO;estandar;exigentes;72
Junin;5734;4866;4002;14602;2628.36;44;8GXSA7;NO;deficiente;exigentes;38
Amazonas;2765;1267;4423;8455;1521.9;43;BS37GE;NO;estandar;leales ;48
Loreto;8658;2870;2152;13680;2462.4;18;8ZC3Z8;SI;buena;exigentes;38
Apurimac;6389;3805;6286;16480;2966.4;26;GEQYPS;SI;estandar;exigentes;71
Madre de Dios;7128;3770;5738;16636;2994.48;18;YGSP4G;NO;deficiente;indecisos;73
Puno;4349;4943;7866;17158;3088.44;48;AXEZ34;SI;deficiente;indecisos;61
Puno;8977;1351;4665;14993;2698.74;44;I7WW83;SI;exepcional;leales ;76
Huanuco;4050;1337;4394;9781;1760.58;48;CHYI4Q;NO;exepcional;indecisos;26
Arequipa;9938;3972;6005;19915;3584.7;15;HM73HD;NO;exelente ;leales ;74
Ica;7560;2697;4756;15013;2702.34;21;CIGQP4;NO;deficiente;leales ;58
Ayacucho;7500;2830;5355;15685;2823.3;29;E7ZYSE;SI;estandar;leales ;55
Puno;2352;1435;3563;7350;1323;29;7D4MHE;NO;exelente ;indecisos;53
Ayacucho;2461;947;6241;9649;1736.82;16;S7ZX8P;NO;buena;indecisos;51
Pasco;7793;3290;5760;16843;3031.74;4;GP8YS8;NO;buena;exigentes;30
Moquegua;6871;2179;5493;14543;2617.74;47;7DMHG3;SI;exepcional;leales ;79
Tumbes;7375;1496;1432;10303;1854.54;33;WZ8Z3M;SI;buena;indecisos;26
Arequipa;8784;4743;3557;17084;3075.12;23;8W7AZ7;SI;deficiente;exigentes;60
Ancash;4055;1026;6280;11361;2044.98;48;X7MASG;SI;exepcional;indecisos;41
Apurimac;8624;3777;3469;15870;2856.6;31;BP38EM;SI;exelente ;leales ;68
Junin;2519;4771;7874;15164;2729.52;6;IGA3EB;NO;buena;indecisos;30
Lambayeque;7496;2587;6442;16525;2974.5;7;883AXB;NO;exelente ;exigentes;64
Madre de Dios;1983;2212;4532;8727;1570.86;47;8H78QG;NO;buena;indecisos;27
Madre de Dios;3418;3700;4347;11465;2063.7;16;CGQEWX;NO;estandar;exigentes;69
Ica;2125;2095;1833;6053;1089.54;12;BMMB8G;NO;estandar;exigentes;49
Tacna;7691;2568;6866;17125;3082.5;30;EG7PBQ;NO;estandar;exigentes;36
Lima;7145;1347;4805;13297;2393.46;29;ZS3SPB;SI;exepcional;exigentes;22
Arequipa;3301;1924;6565;11790;2122.2;31;WE7X73;SI;buena;leales ;76
Cuzco;2636;3818;6887;13341;2401.38;47;IDHGES;SI;estandar;indecisos;49
Lima;2967;1541;7185;11693;2104.74;37;7PAW8A;NO;exepcional;indecisos;22
Lambayeque;9867;4442;2785;17094;3076.92;3;EZQHDA;NO;exepcional;exigentes;34
Ucayali;9744;4732;1566;16042;2887.56;27;8QQXZG;SI;exelente ;indecisos;38
La Libertad;2573;3737;1329;7639;1375.02;46;WGP37B;SI;buena;leales ;68
Lima;1279;1498;5829;8606;1549.08;25;DSAXEX;SI;exepcional;exigentes;31
La Libertad;4006;1072;961;6039;1087.02;22;CQ8YCP;NO;estandar;indecisos;64
Lima;7618;3107;4379;15104;2718.72;10;QIEZGP;NO;exepcional;indecisos;59
Puno;4067;3136;6635;13838;2490.84;20;XZDCE8;SI;deficiente;indecisos;41
Apurimac;4457;2742;4842;12041;2167.38;3;GHAIHS;SI;deficiente;leales ;29
Tacna;2467;1623;4999;9089;1636.02;31;YZPD4H;SI;exepcional;indecisos;75
Lambayeque;1325;1041;7811;10177;1831.86;7;78WWHQ;SI;estandar;indecisos;55
Huancavelica;2511;4385;6382;13278;2390.04;32;EGPHWG;SI;exelente ;exigentes;71
Ica;7410;4480;3220;15110;2719.8;6;83CPGM;NO;deficiente;leales ;31
Amazonas;7315;4982;7594;19891;3580.38;14;QQ48A8;SI;estandar;indecisos;46
Ucayali;4987;3187;6665;14839;2671.02;27;YH7SMG;NO;exepcional;exigentes;73
Ucayali;9472;1698;3210;14380;2588.4;35;GXGAAH;SI;exelente ;exigentes;32
Tacna;6826;2546;7024;16396;2951.28;22;BW7AGE;SI;buena;indecisos;35
Lima;6749;2576;1196;10521;1893.78;47;CGCEWQ;SI;exelente ;indecisos;61
San Martin;4652;4274;3754;12680;2282.4;14;7Q3ZZE;SI;exelente ;leales ;71
Huanuco;8278;3535;2414;14227;2560.86;33;IBSM7M;NO;buena;exigentes;50
Apurimac;8419;4942;4250;17611;3169.98;13;MHC3YE;NO;buena;exigentes;70
Apurimac;3285;2980;5837;12102;2178.36;37;3MGIID;SI;estandar;leales ;28
Ucayali;8487;2934;2457;13878;2498.04;44;GW3EHW;SI;exelente ;indecisos;71
Puno;1563;3694;5559;10816;1946.88;29;ZHB873;NO;exepcional;indecisos;38
Cajamarca;2590;3935;1303;7828;1409.04;17;WSWP4Z;NO;deficiente;leales ;49
Lambayeque;4723;1380;1790;7893;1420.74;42;AEB4BE;NO;deficiente;leales ;42
Piura;9016;1987;1189;12192;2194.56;11;YQSMXZ;SI;deficiente;indecisos;77
Lambayeque;9874;3100;6778;19752;3555.36;29;AQYCWI;NO;exelente ;exigentes;51
Cajamarca;8297;994;3428;12719;2289.42;28;MPD88D;NO;exelente ;indecisos;40
Ucayali;4679;4149;7972;16800;3024;45;PY74QM;SI;exepcional;indecisos;57
Junin;2761;4467;7712;14940;2689.2;19;EYHQIM;NO;exelente ;indecisos;66
Lima;8360;1846;2056;12262;2207.16;18;3SEA8E;NO;deficiente;exigentes;36
Lima;9819;2382;3175;15376;2767.68;13;IXE7HA;NO;estandar;leales ;79
Piura;7251;1921;7607;16779;3020.22;50;W7PSQP;NO;exepcional;indecisos;28
Tumbes;9216;3604;7081;19901;3582.18;24;4CX3Y7;SI;estandar;exigentes;64
Huancavelica;3492;3462;942;7896;1421.28;37;EHC8BW;SI;exelente ;exigentes;74
Huanuco;8694;1925;7498;18117;3261.06;40;CC8QQC;NO;exepcional;indecisos;64
Amazonas;2992;1358;2505;6855;1233.9;15;MZ7CAA;NO;exelente ;indecisos;68
Lima;8849;4992;1830;15671;2820.78;21;XMH7DA;SI;deficiente;leales ;52
Huanuco;5170;1661;7631;14462;2603.16;36;W3IEGA;SI;exepcional;leales ;70
Huancavelica;4416;1432;3058;8906;1603.08;36;QSMDCP;SI;exelente ;exigentes;32
Amazonas;5153;2993;957;9103;1638.54;9;HACPSG;NO;exelente ;exigentes;38
Piura;1806;2399;2385;6590;1186.2;45;AWXWWP;SI;deficiente;leales ;33
Junin;9573;4796;6614;20983;3776.94;46;XPYA3C;NO;exelente ;exigentes;73
Piura;3867;3729;1239;8835;1590.3;23;QAYPQY;NO;exelente ;leales ;34
Piura;6552;941;4348;11841;2131.38;20;ZCI8XZ;NO;buena;exigentes;32
Lambayeque;1056;4910;5278;11244;2023.92;46;EPC83Y;SI;deficiente;leales ;58
Ica;1563;3288;7548;12399;2231.82;4;YHI4GE;SI;deficiente;indecisos;37
Amazonas;3237;3168;1668;8073;1453.14;26;IYDC4P;NO;exelente ;indecisos;41
La Libertad;2121;2520;6751;11392;2050.56;37;3MGAIC;SI;estandar;indecisos;64
Tacna;9525;4808;3568;17901;3222.18;34;4BGCM7;NO;estandar;leales ;75
Piura;5093;2085;5805;12983;2336.94;2;EGPHYX;SI;deficiente;leales ;59
La Libertad;2465;2201;6201;10867;1956.06;4;GIGD7E;NO;exepcional;leales ;20
La Libertad;2423;1322;2202;5947;1070.46;8;S3AY4A;NO;exelente ;leales ;41
Huancavelica;9991;3872;1670;15533;2795.94;36;433YIP;SI;estandar;indecisos;37
Moquegua;5814;1983;5962;13759;2476.62;29;3DA7PM;SI;estandar;exigentes;75
La Libertad;5618;2286;2384;10288;1851.84;8;CGM8E8;NO;buena;leales ;45
Lambayeque;6775;3959;1720;12454;2241.72;15;QHCX4M;SI;buena;exigentes;27
Tacna;3649;1499;1662;6810;1225.8;15;CQQ7XW;NO;buena;leales ;45
Piura;1287;3293;3000;7580;1364.4;33;4DQMBW;NO;buena;exigentes;68
Moquegua;6363;2638;1900;10901;1962.18;9;IGPEDQ;SI;estandar;exigentes;28
Loreto;7716;4440;3313;15469;2784.42;26;MGSH3D;NO;buena;exigentes;48
Cuzco;9672;1885;4626;16183;2912.94;36;WQ7DYZ;SI;estandar;leales ;76
Pasco;7326;1829;5642;14797;2663.46;4;CCXWEZ;SI;buena;exigentes;70
Piura;1841;1293;3858;6992;1258.56;27;CCYGPI;SI;exelente ;indecisos;57
Cajamarca;3542;1790;7087;12419;2235.42;47;IE4BWM;NO;exepcional;leales ;71
Ancash;3601;2880;4981;11462;2063.16;10;WEZHMH;NO;estandar;indecisos;66
Ayacucho;9717;2194;1177;13088;2355.84;29;33WHPW;SI;buena;leales ;38
La Libertad;7624;990;4770;13384;2409.12;34;4XQ7PP;SI;exelente ;indecisos;64
Lambayeque;4079;4065;1179;9323;1678.14;41;EX3ZYE;SI;buena;leales ;55
Moquegua;1511;3084;3620;8215;1478.7;39;P8AGHA;SI;deficiente;leales ;41
Arequipa;7181;3309;2847;13337;2400.66;5;MDG83P;SI;estandar;leales ;51
Huanuco;1378;3899;3494;8771;1578.78;3;HESI3H;NO;exepcional;exigentes;78
Junin;3783;3602;6591;13976;2515.68;26;GDAAMD;NO;exelente ;leales ;58
Lima;3050;4080;6505;13635;2454.3;34;ZAWYYW;SI;deficiente;indecisos;21
Madre de Dios;1840;4320;6528;12688;2283.84;21;SECDQ3;NO;exelente ;indecisos;73
San Martin;8469;3394;6247;18110;3259.8;23;48DMBQ;NO;exelente ;exigentes;47
Ayacucho;1017;4704;5940;11661;2098.98;47;HZBIEM;SI;exelente ;indecisos;40
Ayacucho;7342;2625;1438;11405;2052.9;34;XHP3BI;SI;deficiente;leales ;27
Piura;4715;3029;7407;15151;2727.18;21;H4ZBBM;NO;deficiente;indecisos;22
Moquegua;4844;1890;5426;12160;2188.8;24;PDIGEZ;NO;deficiente;leales ;22
Huanuco;9712;2095;6959;18766;3377.88;8;SDBG3S;SI;exepcional;leales ;21
Huancavelica;7408;2867;6908;17183;3092.94;24;AYIHPY;SI;exelente ;indecisos;25
Piura;6800;4574;5216;16590;2986.2;11;I88H8Y;NO;estandar;leales ;71
Huanuco;6102;3060;4448;13610;2449.8;45;EYEEZP;SI;deficiente;indecisos;77
Ayacucho;8621;3070;3337;15028;2705.04;48;4ZZWG4;SI;deficiente;leales ;32
Tacna;6257;4235;3740;14232;2561.76;30;P37PYZ;NO;estandar;indecisos;63
Apurimac;2649;3996;7743;14388;2589.84;28;HCYAGG;SI;exepcional;indecisos;77
Tumbes;8071;4281;4809;17161;3088.98;3;3DMEIM;SI;estandar;exigentes;79
Ica;8477;3950;4011;16438;2958.84;31;DWHG7Q;SI;estandar;exigentes;35
Pasco;1411;4503;7750;13664;2459.52;2;Y43HC8;SI;exepcional;leales ;20
Junin;2654;2691;7473;12818;2307.24;19;HDDDQX;SI;exepcional;exigentes;32
Pasco;5267;3490;3852;12609;2269.62;38;SEPGIY;SI;estandar;leales ;35
Huancavelica;2787;1964;4412;9163;1649.34;20;XIBCS7;SI;exelente ;exigentes;72
Huanuco;3232;2548;6469;12249;2204.82;44;WGSWDG;SI;exelente ;exigentes;41
Arequipa;9448;4939;1513;15900;2862;46;8ZQS3H;NO;estandar;leales ;62
Piura;3166;4846;1244;9256;1666.08;12;8YB7Y8;NO;exelente ;indecisos;29
Ayacucho;4460;1666;2754;8880;1598.4;14;ZDPE3Z;NO;buena;indecisos;29
Junin;9560;1547;5258;16365;2945.7;47;WEPDG7;SI;deficiente;leales ;22
Puno;3086;4137;2584;9807;1765.26;12;BQA44I;SI;estandar;indecisos;72
Arequipa;1279;2274;4484;8037;1446.66;50;PPIBZ8;SI;estandar;exigentes;69
Lima;5027;2632;3320;10979;1976.22;30;3IY8DB;NO;buena;exigentes;58
Ayacucho;2965;2146;7809;12920;2325.6;9;P4YHMB;NO;deficiente;leales ;23
Lambayeque;6553;1327;5939;13819;2487.42;34;DPX3Y4;SI;exepcional;indecisos;41
Ayacucho;4594;4053;7730;16377;2947.86;4;QMH4QM;NO;estandar;exigentes;51
Piura;6963;4275;4828;16066;2891.88;19;878HPM;SI;exepcional;exigentes;67
Lambayeque;8012;4683;7655;20350;3663;20;WWWEBP;SI;buena;leales ;71
Ancash;4272;3811;6088;14171;2550.78;7;C3QC73;SI;exelente ;indecisos;47
Pasco;5195;4393;3755;13343;2401.74;44;ZPZY3I;SI;exepcional;exigentes;22
Tacna;1188;4927;3294;9409;1693.62;16;B7IDDY;SI;buena;exigentes;50
Amazonas;4985;2739;2903;10627;1912.86;32;8QWB3Q;NO;buena;exigentes;65
Apurimac;6610;1657;1875;10142;1825.56;23;MQ34HG;NO;deficiente;exigentes;44
Cuzco;9283;1915;7006;18204;3276.72;37;YDYEEY;NO;buena;exigentes;79
Huanuco;7342;3782;3031;14155;2547.9;31;4IY3H4;NO;buena;exigentes;59
Loreto;4597;1224;3130;8951;1611.18;37;3WW84D;NO;exelente ;indecisos;37
Arequipa;1975;1287;7630;10892;1960.56;48;BCMMMW;NO;buena;exigentes;31
Madre de Dios;8767;2493;5079;16339;2941.02;48;B3ZCP7;SI;exelente ;indecisos;47
Junin;1052;2311;4617;7980;1436.4;20;Z8D8MH;SI;estandar;leales ;76
Ancash;9798;3694;2446;15938;2868.84;48;43XYY8;SI;buena;leales ;37
Arequipa;9751;1599;7304;18654;3357.72;28;4IWAYG;NO;estandar;leales ;61
Tacna;5451;1897;1274;8622;1551.96;2;ZXBDPM;SI;exelente ;indecisos;56
Arequipa;6530;4615;6484;17629;3173.22;10;BW44IP;SI;exelente ;indecisos;54
Cajamarca;7384;2526;5586;15496;2789.28;24;D47SP3;NO;exepcional;leales ;69
Cuzco;3909;2811;6368;13088;2355.84;45;SXI8D8;NO;exepcional;leales ;30
Ucayali;8971;4375;6391;19737;3552.66;6;H8DQS3;NO;buena;leales ;70
Pasco;8356;1602;1992;11950;2151;24;PSXB7D;NO;buena;indecisos;62
Cajamarca;9708;2222;2177;14107;2539.26;22;MWDPXX;SI;deficiente;leales ;49
Amazonas;4928;1485;7675;14088;2535.84;17;IHHGGM;SI;exelente ;leales ;32
Loreto;8821;1439;6799;17059;3070.62;6;ISGWYG;NO;buena;indecisos;33
Loreto;1294;3474;4113;8881;1598.58;3;SDS4G8;NO;exepcional;indecisos;22
Lambayeque;6320;3654;2256;12230;2201.4;41;4GHS7D;NO;exelente ;exigentes;54
Apurimac;7301;3461;1808;12570;2262.6;25;WGIHY3;NO;exelente ;indecisos;65
Loreto;9097;2398;1011;12506;2251.08;8;PYD3DP;SI;exepcional;indecisos;57
Ayacucho;8283;1397;1545;11225;2020.5;39;Y7WSCB;NO;buena;exigentes;30
Amazonas;4779;2856;3732;11367;2046.06;42;IXSMHZ;SI;buena;indecisos;78
Tumbes;1425;2951;5170;9546;1718.28;10;C738CB;NO;exelente ;leales ;59
Ancash;6071;1296;5388;12755;2295.9;29;DIMHGY;SI;deficiente;indecisos;21
Arequipa;9236;1486;3508;14230;2561.4;46;A3D4A3;SI;estandar;indecisos;36
Huancavelica;8263;1082;7920;17265;3107.7;23;HW3787;NO;exelente ;indecisos;35
Tacna;3393;1213;1948;6554;1179.72;35;CGBPGA;SI;estandar;exigentes;37
Ucayali;2016;2396;6176;10588;1905.84;40;88MXGP;SI;exelente ;exigentes;42
Pasco;2728;3738;6456;12922;2325.96;6;B4ZICI;NO;estandar;indecisos;71
La Libertad;1176;2700;4686;8562;1541.16;22;7EW3BD;NO;estandar;exigentes;63
Ica;7872;2583;1332;11787;2121.66;27;3EIGY7;NO;deficiente;leales ;56
Tacna;4105;2129;2843;9077;1633.86;17;EMESB4;SI;exelente ;exigentes;80
Apurimac;1164;4299;4195;9658;1738.44;29;HIQB74;NO;exepcional;exigentes;54
Tumbes;3794;3542;5812;13148;2366.64;47;WSZ4W8;NO;exepcional;indecisos;21
Lima;6902;2703;3070;12675;2281.5;22;WGZP4G;NO;exepcional;exigentes;34
Ancash;3335;1738;1081;6154;1107.72;12;4QD4ZW;NO;estandar;leales ;49
San Martin;2614;2349;5002;9965;1793.7;14;XH4ZEP;NO;deficiente;leales ;47
Cuzco;5366;3130;4814;13310;2395.8;18;DGG3CS;NO;deficiente;leales ;52
Lambayeque;1625;3778;1381;6784;1221.12;31;HC4CD7;SI;exelente ;indecisos;36
Loreto;5284;2884;2323;10491;1888.38;10;77DQIW;SI;exepcional;exigentes;23
Huanuco;8477;3217;6800;18494;3328.92;31;8I7HDM;NO;buena;leales ;37
Lambayeque;6793;2670;6434;15897;2861.46;39;Z88GYM;SI;exelente ;indecisos;75
Huancavelica;6150;4114;1984;12248;2204.64;8;CIDS8Q;SI;exelente ;exigentes;34
Apurimac;6177;4742;1646;12565;2261.7;3;EGBZB7;NO;exepcional;leales ;52
Piura;8046;3895;2496;14437;2598.66;49;CX77AX;SI;exelente ;leales ;70
Amazonas;4183;3426;7813;15422;2775.96;26;MBAPXX;NO;estandar;exigentes;69
Junin;6847;1046;7288;15181;2732.58;6;DAC8P7;NO;estandar;indecisos;30
Loreto;5424;2216;3382;11022;1983.96;5;QWWPYY;SI;exepcional;exigentes;64
La Libertad;1112;4643;5437;11192;2014.56;11;W33SAH;SI;exepcional;indecisos;60
Moquegua;1631;3120;4267;9018;1623.24;12;IIS33S;NO;estandar;exigentes;56
Lambayeque;6681;2042;7960;16683;3002.94;7;HBD4BY;SI;exepcional;indecisos;21
Loreto;8263;2006;4780;15049;2708.82;16;ZHZ3P8;NO;estandar;exigentes;36
Tumbes;1121;3500;7484;12105;2178.9;14;AHAMGM;NO;exepcional;exigentes;68
Tacna;3833;4645;2181;10659;1918.62;7;8PWPSP;NO;deficiente;indecisos;53
Lima;3884;4603;7510;15997;2879.46;21;XS8EWQ;NO;exepcional;leales ;77
Piura;9929;2141;2709;14779;2660.22;11;AQYXYY;SI;exelente ;indecisos;60
Cuzco;8406;3528;1608;13542;2437.56;46;HAXHAZ;SI;exelente ;indecisos;68
Cuzco;2752;3460;5548;11760;2116.8;29;GXAA3E;SI;buena;exigentes;21
Huanuco;6946;1189;4178;12313;2216.34;8;P8DYGY;NO;deficiente;exigentes;20
Puno;7881;3143;3585;14609;2629.62;36;CW83P3;NO;buena;leales ;48
San Martin;7742;2261;3492;13495;2429.1;31;WECYMX;SI;exelente ;indecisos;22
Tacna;9794;1913;3605;15312;2756.16;15;G4BAYZ;NO;buena;leales ;23
Arequipa;8923;1675;8000;18598;3347.64;15;S7HIGC;NO;estandar;exigentes;74
Junin;1944;1046;7617;10607;1909.26;13;734QPX;SI;exepcional;exigentes;70
Junin;1258;4222;6594;12074;2173.32;16;MMCWGP;NO;estandar;indecisos;74
Pasco;8323;1072;7683;17078;3074.04;34;IEHZSQ;NO;exepcional;indecisos;41
Ancash;2078;2856;7481;12415;2234.7;19;ISYYYG;SI;deficiente;exigentes;32
Tumbes;2796;3280;2457;8533;1535.94;45;D8AXH3;SI;deficiente;indecisos;78
Madre de Dios;1306;3664;1401;6371;1146.78;24;DIWCII;SI;buena;leales ;26
Cajamarca;1959;3578;4329;9866;1775.88;2;QPP8WI;SI;estandar;leales ;23
La Libertad;2037;3121;3359;8517;1533.06;16;G8CXEW;NO;exepcional;exigentes;59
Apurimac;9732;3856;2911;16499;2969.82;21;ZHDCBA;NO;exelente ;exigentes;26
Loreto;3960;2517;6018;12495;2249.1;24;WGMIS3;SI;buena;exigentes;61
Lambayeque;1937;4842;4571;11350;2043;8;DQQCQM;SI;estandar;leales ;27
Huancavelica;1724;1630;3214;6568;1182.24;24;Z7GED7;NO;buena;leales ;77
Ica;7264;2377;7689;17330;3119.4;31;PHA8IS;SI;estandar;exigentes;35
Ucayali;9213;3602;1262;14077;2533.86;40;MDCQYE;SI;buena;exigentes;76
Huanuco;8017;1289;7735;17041;3067.38;16;EBMG8P;SI;exelente ;indecisos;74
Huancavelica;1253;3764;2206;7223;1300.14;10;D8EAHX;SI;estandar;indecisos;71
Lambayeque;9967;4657;7018;21642;3895.56;20;4CEDHQ;NO;exelente ;leales ;50
Arequipa;9207;1014;4896;15117;2721.06;36;3EHQDZ;NO;exepcional;exigentes;36
Tumbes;7213;4354;1778;13345;2402.1;4;ICCXSW;NO;deficiente;exigentes;30
Apurimac;5048;2680;2083;9811;1765.98;13;EGQ4BE;SI;estandar;leales ;33
Lambayeque;9232;4359;2486;16077;2893.86;33;W33G7D;SI;exepcional;indecisos;37
Cajamarca;7907;3742;4522;16171;2910.78;9;78CBPM;SI;buena;exigentes;68
San Martin;8167;2747;6960;17874;3217.32;49;G8HED8;NO;exelente ;leales ;60
Ucayali;4855;2803;7181;14839;2671.02;35;MPCHMA;NO;buena;leales ;33
Ayacucho;2276;2981;4015;9272;1668.96;14;SXA3QG;SI;exepcional;exigentes;68
Lambayeque;8727;1402;2110;12239;2203.02;47;A4PZBA;SI;exelente ;leales ;80
Ica;2153;952;1847;4952;891.36;41;CQSBBE;SI;estandar;leales ;40
Madre de Dios;8957;2262;1347;12566;2261.88;35;Z4HZYX;SI;exelente ;exigentes;39
Ayacucho;9907;4279;3412;17598;3167.64;47;IPP88W;SI;estandar;indecisos;24
Moquegua;5997;991;2048;9036;1626.48;8;8EZY3B;SI;deficiente;leales ;24
Moquegua;4069;3340;3893;11302;2034.36;38;38DDGZ;NO;buena;leales ;35
Ayacucho;3649;2724;3799;10172;1830.96;14;X4DM3I;SI;buena;exigentes;22
San Martin;4999;1632;1049;7680;1382.4;33;HPEQXM;NO;estandar;exigentes;40
La Libertad;8547;4860;5140;18547;3338.46;45;3MPHBP;NO;exepcional;indecisos;72
Ancash;9876;3330;4387;17593;3166.74;49;GBZWWA;SI;exelente ;exigentes;67
